Dossier;Adresse;Nature;Relatif à;Etat;EUR;co_co;Dépôt;Recev?;RenvComm;1erAvisCE;DerAvisCE;1erRapp;DerRapp;RappCommPrev;RappComm;Comm1;CommLast;SeanPub1;Vote1;Vote2;DispVote;1erAmdtGvt;DerAmdtGvt;1erAmdtComm;DerAmdtComm;AvisCP;Publication;NbrAut;Auteurs;NbrComm;Comm;NbrPres;Pressentie;NbrRapp;Rapporteur;NbrAjPPGvt;AjAvisCHD;AjAvisCE;AjAmdtGvt;AjAmdtComm;NbrComm2;cmt_commission;cmt_commission_pressentie
7409;https://www.chd.lu/fr/dossier/7409;PL;"Uniquement pour les membres de Commission de l'Education nationale de l'Enfance de la Jeunesse de l'Enseignement supérieur et de la Recherche¯¯.modifiant : 1° la loi modifiée du 24 juillet 2014 concernant l'aide financière de l'Etat pour études supérieures ; 2° la loi du 28 octobre 2016 relative à la reconnaissance des qualifications professionnelles ; 3° la loi modifiée du 27 juin 2018 ayant pour objet l'organisation de l'Université du Luxembourg";PUB_JO;;X;19.02.19;;07.03.19;05.03.19;;;;19.03.19;19.03.19;13.03.19;19.03.19;27.03.19;27.03.19;;10.04.19;;;;;;11.04.19;1;C.Meisch (Min. Enseignement supérieur & Recherche);1;ENEJER;1;=;0;;;2;1;;;2;C. Education nationale Enfance Jeunesse Enseignement supérieur & Recherche;C. Education nationale Enfance Jeunesse Enseignement supérieur & Recherche
7410;https://www.chd.lu/fr/dossier/7410;PPL;.portant modification de la loi du 24 février 1984 sur le régime des langues modifiée par la loi du 23 septembre 2018;COMM;;X;20.02.19;12.03.19;12.03.19;29.01.20;;;;;;;;;;;;;;;;;;1;F.Kartheiser;2;IR|INST;;;0;;1;;1;;;;C. Institutions & Révision constitutionnelle|C. Institutions;
7411;https://www.chd.lu/fr/dossier/7411;PL;".portant modification ¯1° du Code pénal ;¯2° du Code de procédure pénale ;¯3° de la loi modifiée du 12 février 1979 concernant la taxe sur la valeur ajoutée ;¯aux fins de transposition de la directive (UE) 2017/1371 du Parlement européen et du Conseil du 5 juillet 2017 relative à la lutte contre la fraude portant atteinte aux intérêts financiers de l'Union au moyen du droit pénal";PUB_JO;OUI;X;22.02.19;;07.03.19;08.04.19;11.12.19;15.01.20;;05.02.20;05.02.20;15.01.20;05.02.20;11.02.20;11.02.20;;27.02.20;06.08.19;29.10.19;;;;16.03.20;1;F.Braz (Min. Justice);1;J;1;=;1;C.Hartmann;;2;2;2;;2;C. Justice;C. Justice
7412;https://www.chd.lu/fr/dossier/7412;PL;.portant modification de la loi modifiée du 29 août 2008 sur la libre circulation des personnes et l'immigration;PUB_JO;;X;22.02.19;;07.03.19;05.03.19;27.03.19;11.03.19;;28.03.19;28.03.19;11.03.19;28.03.19;28.03.19;28.03.19;;10.04.19;;;19.03.19;;;11.04.19;1;J.Asselborn (Min. Affaires étrangères & européennes);1;AEECA;1;=;1;M.Angel;;1;2;;1;2;C. Affaires étrangères & européennes Coopération Immigration & Asile;C. Affaires étrangères & européennes Coopération Immigration & Asile
7413;https://www.chd.lu/fr/dossier/7413;PL;.portant approbation du Protocole entre l'Ukraine et les États Benelux (le Royaume de Belgique le Grand-Duché de Luxembourg le Royaume des Pays-Bas) appliquant l'Accord entre l'Union européenne et l'Ukraine relatif à la réadmission des personnes en situation irrégulière fait à Bruxelles le 17 décembre 2018;PUB_JO;;X;26.02.19;;07.03.19;13.11.19;;27.11.19;;13.01.20;13.01.20;13.01.20;13.01.20;22.01.20;12.02.20;;27.02.20;;;;;;13.03.20;2;J.Asselborn (Gouvernement)|J.Asselborn (Min. Affaires étrangères & européennes);1;AEECA;1;=;1;L.Mutsch;;;1;;;1;C. Affaires étrangères & européennes Coopération Immigration & Asile;C. Affaires étrangères & européennes Coopération Immigration & Asile
7414;https://www.chd.lu/fr/dossier/7414;PRCONS;.de l'article 95ter de la Constitution;TRANSFO;;X;27.02.19;12.03.19;12.03.19;08.04.19;03.07.19;02.05.19;;;;30.04.19;03.07.19;;;;;;;06.06.19;;;;1;A.Bodry;1;IR;;;1;L.Gloden;;;2;;1;2;C. Institutions & Révision constitutionnelle;
7415;https://www.chd.lu/fr/dossier/7415;PL;.portant approbation de la modification de la Convention relative à la collecte au dépôt et à la réception des déchets survenant en navigation rhénane et intérieure signée à Strasbourg le 9 septembre 1996;PUB_JO;;X;28.02.19;;07.03.19;22.05.19;;22.11.19;;28.11.19;06.12.19;17.10.19;28.11.19;11.12.19;11.12.19;;27.12.19;;;;;;23.12.19;2;J.Asselborn (Gouvernement)|J.Asselborn (Min. Affaires étrangères & européennes);1;MOBTP;1;AEECA;1;C.Back;;;1;;;2;C. Mobilité & Travaux publics;C. Affaires étrangères & européennes Coopération Immigration & Asile
7416;https://www.chd.lu/fr/dossier/7416;PL;.modifiant l'article L. 222-9 du Code du travail;PUB_JO;;X;01.03.19;;07.03.19;08.04.19;22.05.19;02.05.19;;06.06.19;06.06.19;02.05.19;06.06.19;25.06.19;25.06.19;;04.07.19;;;06.05.19;;;12.07.19;1;D.Kersch (Min. Travail Emploi & Economie sociale & solidaire);1;TESS;1;=;1;G.Engel;;3;2;;1;2;C. Travail Emploi & Sécurité sociale;C. Travail Emploi & Sécurité sociale
7417;https://www.chd.lu/fr/dossier/7417;PL;".portant modification de : ¯1° la loi modifiée du 12 septembre 2003 relative aux personnes handicapées ;¯2° la loi modifiée du 28 juillet 2018 relative au revenu d'inclusion sociale";PUB_JO;;X;01.03.19;;07.03.19;08.04.19;;05.06.19;;05.06.19;05.06.19;05.06.19;05.06.19;19.06.19;25.06.19;;04.07.19;;;;;;16.07.19;1;C.Cahen (Min. Famille & Intégration);1;FAIN;1;=;1;M.Hahn;;3;1;;;1;C. Famille & Intégration;C. Famille & Intégration
7418;https://www.chd.lu/fr/dossier/7418;PL;".portant modification :¯1° de la loi modifiée du 16 avril 1979 fixant le statut général des fonctionnaires de l'Etat ;¯2° de la loi modifiée du 15 juin 1999 portant organisation de l'Institut national d'administration publique ;¯3° de la loi modifiée du 25 mars 2015 fixant le régime des traitements et les conditions et modalités d'avancement des fonctionnaires de l'Etat ;¯4° de la loi modifiée du 25 mars 2015 déterminant le régime et les indemnités des employés de l'Etat ; ¯5° de la loi modifiée du 18 juillet 2018 sur la Police grand-ducale";PUB_JO;;X;04.03.19;;07.03.19;03.07.19;23.10.19;18.09.19;;13.11.19;15.11.19;18.09.19;13.11.19;19.11.19;19.11.19;;29.11.19;14.06.19;;30.09.19;;;28.12.19;1;M.Hansen (Min. Fonction publique);1;FNP;1;=;1;G.Graas;;2;2;1;1;2;C. Fonction publique;C. Fonction publique
7419;https://www.chd.lu/fr/dossier/7419;CSI;.de la Chambre des Députés pour l'exercice 2017;.;;X;04.03.19;;04.03.19;;;05.04.19;;05.04.19;;05.04.19;05.04.19;25.04.19;;;;;;;;;;1;CPTES;1;CPTES;1;=;1;M.Lies;;;;;;1;C. Comptes;C. Comptes
